U matrix:
0.95798 0.82866 0.96757 
0.66865 0.69346 0.61760 
1.16893 1.09445 0.95318 
0.91066 0.90548 1.12494 
0.22274 0.27353 0.39174 
0.78843 0.84376 0.85537 
0.52599 0.56994 0.69695 
0.14824 0.23939 0.25963 
0.71145 0.67962 0.71454 
0.45314 0.44887 0.18349 
1.05858 0.96524 0.77609 
0.77983 0.99439 0.99885 
1.01441 0.89601 0.93190 
0.39774 0.62323 0.62661 
0.50828 0.58200 0.45385 
0.65504 0.83861 0.81273 
0.72313 0.45053 0.54543 
0.36526 0.25756 0.43306 
0.24157 0.34004 0.29982 
0.86540 1.04789 0.95277 
0.84388 0.63397 0.58460 
0.79856 1.05625 0.90197 
1.00484 0.98179 0.89218 
0.81929 0.87306 1.05878 
0.36221 0.48332 0.52726 
0.44611 0.45755 0.55302 
1.02044 0.89904 1.00232 
0.43954 0.40646 0.46083 
0.77964 0.76485 0.69939 
0.61190 0.69433 0.83364 
0.04581 0.22088 0.08295 
1.09747 0.80565 1.07207 
0.67898 0.83471 0.72222 
0.66899 0.52034 0.63971 
0.42193 0.58053 0.49986 
0.75011 0.68942 0.57479 
0.33539 0.52868 0.55314 
0.34511 0.50039 0.48143 
0.51941 0.58922 0.72392 
0.51126 0.78802 0.48836 
0.33628 0.26734 0.40741 
1.04473 0.94861 0.87540 
0.79310 0.78388 0.74826 
0.73620 0.87807 0.70165 
0.90164 0.95148 0.73650 
0.87443 0.99848 0.85422 
0.59298 0.57945 0.56338 
0.74301 0.88147 0.95759 
0.52866 0.52101 0.75907 
0.30406 0.26840 0.54275 
0.96890 0.69672 0.82624 
0.80085 0.81498 0.69048 
1.02291 1.17595 1.09844 
0.94195 1.01087 0.78400 
0.83527 0.94547 0.98556 
0.14577 0.29552 0.38417 
0.93425 0.93404 0.87643 
0.80992 0.89325 0.95412 
1.12542 0.84598 0.89529 
0.26318 0.16389 0.22034 
0.86403 0.96413 0.83069 
0.48466 0.41793 0.30505 
0.27798 0.15746 0.44829 
0.54132 0.35732 0.49911 
1.06902 0.83320 0.99198 
0.85881 0.72629 0.61359 
0.40454 0.35050 0.56781 
0.37435 0.17007 0.19055 
0.96147 0.85977 0.93028 
1.04450 0.89609 0.96502 
0.63019 0.76060 0.63916 
0.94984 0.84273 0.72277 
0.59473 0.62023 0.69625 
1.04925 0.86174 0.76793 
1.02371 0.71275 0.85664 
0.80670 0.65698 0.84513 
0.22341 0.19284 0.19557 
0.80145 1.12010 1.05221 
0.48003 0.34488 0.36917 
0.38137 0.41797 0.32252 
1.13641 1.33043 1.22978 
0.58957 0.41639 0.64034 
0.32304 0.59226 0.57429 
0.21804 0.20919 0.51798 
0.64436 0.57896 0.63109 
0.61917 0.67470 0.65552 
0.53787 0.48687 0.36200 
0.76763 0.69740 0.59623 
0.41166 0.34562 0.35492 
0.53831 0.35434 0.44306 
0.87395 0.85916 1.05591 
0.57103 0.55611 0.78257 
0.95077 1.04929 0.73925 
1.63419 1.44956 1.60691 
0.78442 0.79438 0.68360 
0.61435 0.65402 0.64939 
0.36507 0.54437 0.43698 
0.66040 0.76831 0.67305 
0.16450 0.11917 0.10137 
0.46446 0.21844 0.31259 
0.86243 0.82064 1.08020 
0.60833 0.38501 0.41182 
0.72841 0.78683 0.56325 
1.07453 1.10354 1.00799 
0.87135 0.88603 1.07142 
0.26940 0.36782 0.55010 
0.88610 0.91817 1.15565 
0.39767 0.63769 0.40196 
0.34978 0.43207 0.33095 
0.91799 0.90531 0.68888 
0.37541 0.24822 0.38957 
0.99762 0.94048 0.80220 
0.39233 0.24809 0.49850 
0.70335 0.71879 0.61385 
0.83545 0.91536 0.82570 
0.12246 0.17185 0.21221 
0.40403 0.33230 0.42066 
0.39558 0.19489 0.28061 
0.36604 0.50011 0.48335 
0.55383 0.48363 0.39223 
0.61761 0.29525 0.45362 
0.32449 0.11823 0.09151 
0.82643 0.72090 0.83535 
0.69978 0.50674 0.39500 
0.58811 0.75260 0.46903 
0.98194 0.80328 0.69502 
0.62677 0.56139 0.49942 
0.50515 0.60191 0.57598 
0.79918 0.74381 1.02331 
0.96590 0.91857 0.96650 
0.35239 0.34240 0.36353 
0.97954 0.88459 1.05137 
0.26227 0.34963 0.04779 
0.82970 0.85278 0.84008 
0.60283 0.68952 0.43787 
0.29316 0.33872 0.27602 
1.00847 0.88876 0.96481 
0.67892 0.51433 0.51744 
0.52028 0.61877 0.62130 
0.82476 0.82113 0.84718 
0.94984 0.96034 0.93087 
0.73594 0.97682 0.69675 
0.40048 0.54857 0.63037 
0.57296 0.43445 0.47403 
0.75993 0.67077 0.77448 
1.09908 1.35850 1.21960 
0.67492 0.80575 0.67738 
0.36175 0.24516 0.08860 
0.93489 1.14018 1.00762 
0.89950 1.00113 0.89536 
0.28937 0.24765 0.10657 
0.29696 0.03885 0.22989 
1.09983 0.98462 0.98014 
0.68886 0.50508 0.64929 
0.27025 0.26289 0.18144 
0.79557 0.77305 0.80032 
0.93371 0.78282 0.93045 
0.94198 0.90158 0.88947 
0.51031 0.38796 0.51657 
0.27745 0.17519 0.22373 
0.92953 0.97219 0.89449 
0.09020 0.10231 0.17280 
1.31856 1.23047 1.14074 
0.95844 1.12764 0.88389 
0.93896 0.79918 1.02221 
0.96800 1.00071 0.91408 
1.11540 0.97912 1.12795 
0.78391 0.68731 0.78710 
0.47899 0.37060 0.38554 
0.38463 0.27159 0.54835 
0.68202 0.80668 0.84504 
0.91589 0.93903 0.79408 
0.59210 0.57458 0.77969 
0.95192 0.84137 0.73577 
0.70030 0.79438 0.71549 
0.87742 0.87230 0.65932 
0.88248 0.91066 0.94630 
0.82747 0.82914 0.56741 
0.72031 0.58887 0.86734 
0.94947 0.98003 1.02808 
0.23963 0.29618 0.22743 
0.65904 0.89985 0.65686 
0.43592 0.52214 0.59783 
0.77543 1.01915 1.04384 
0.75756 0.84295 0.74479 
0.90816 0.73305 0.79515 
0.74896 0.85900 0.95276 
0.08651 0.20651 0.25432 
0.22391 0.16231 0.33530 
0.96493 0.88172 1.01542 
0.82058 0.78215 0.92894 
1.12378 1.11019 1.02534 
0.51765 0.76792 0.77844 
0.51262 0.26145 0.55138 
0.42022 0.42500 0.53447 
0.93199 1.05727 0.79788 
0.70588 0.60068 0.86374 
1.01154 0.88502 1.10828 
0.84518 0.93538 0.70629 
0.96144 0.95206 1.01324 
1.05311 1.20232 1.06510 
1.00032 0.81523 0.70332 
0.15870 0.41372 0.25929 
0.41163 0.31020 0.18072 
0.81254 0.82503 0.77609 
0.39426 0.61086 0.65416 
0.64294 0.69629 0.53265 
0.72558 0.63608 0.63094 
0.90322 0.95102 1.01180 
0.39761 0.35738 0.34258 
0.07055 0.08806 0.08832 
0.35540 0.34588 0.07771 
1.09660 0.95945 0.88547 
0.95214 0.88161 0.74329 
1.23673 1.21802 1.42046 
0.48085 0.48700 0.29097 
0.42368 0.27866 0.37442 
0.14492 0.21682 0.12838 
0.33998 0.31538 0.22759 
1.02330 0.95127 1.18371 
0.18599 0.23676 0.18278 
